Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,Dragon Ranger Gaming vs Rare Atom,219600,Ascent,131846,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Totoro Gaming vs Shenzhen NTER,221176,Lotus,133125,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Totoro Gaming vs Shenzhen NTER,221176,Ascent,133126,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Dragon Ranger Gaming vs Royal Never Give Up,221177,Split,133128,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Dragon Ranger Gaming vs Royal Never Give Up,221177,Haven,133129,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Nova Esports vs TYLOO,221178,Split,133131,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Nova Esports vs TYLOO,221178,Bind,133132,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Night Wings Gaming vs Douyu Gaming,221179,Haven,133134,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Night Wings Gaming vs Douyu Gaming,221179,Ascent,133135,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Gank Gaming vs Invincible Gaming,221180,Lotus,133137,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Gank Gaming vs Invincible Gaming,221180,Split,133138,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Number One Player vs Kingzone,221181,Lotus,133140,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Number One Player vs Kingzone,221181,Fracture,133141,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Weibo Gaming vs Four Angry Men,221183,Bind,133146,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Weibo Gaming vs Four Angry Men,221183,Haven,133147,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Weibo Gaming vs Four Angry Men,221183,Split,133148,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Rare Atom vs Monarch Effect,221182,Lotus,133143,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Rare Atom vs Monarch Effect,221182,Ascent,133144,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,Rare Atom vs Monarch Effect,221182,Bind,133145,vct_2023
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 3,Weibo Gaming vs Shenzhen NTER,221837,Fracture,133520,vct_2023
